Aluminum Copper, Al/Cu
Aluminum Nitride, AlN
Aluminum Oxide, Al2O3
Aluminum Silicon Copper, Al/Si/Cu
Aluminum Silicon, Al/Si
Aluminum, Al
Antimony Telluride, Sb2Te3
Antimony, Sb
Barium Cerium Yttrium Zirconate, BaCe(1-x-y)Y(x)Zr(y)O3
Barium Ferrite, BaFe12O19
Barium Fluoride, BaF2
Barium Strontium Titanate, Ba(1-x)Sr(x)TiO3
Barium Strontium Titanate, Ba0.5Sr0.5TiO3
Barium Titanate, BaTiO3
Barium Zirconate, BaZrO3
Barium, Ba
Bismuth Calcium Ferrite, Bi0.9Ca0.1FeO3
Bismuth Ferrite (Garnet), Bi3Fe5O12
Bismuth Ferrite, BiFeO3
Bismuth Oxide, Bi2O3
Bismuth Selenide, Bi2Se3
Bismuth Telluride, Bi2Te3
Bismuth Titanate, Bi4Ti3O12
Bismuth, Bi
Boron Carbide, B4C
Boron Nitride, BN
Boron, B
Cadmium Selenide, CdSe
Cadmium Sulfide, CdS
Cadmium Telluride, CdTe
Cadmium, Cd
Calcium Manganate, CaMnO3
Calcium Titanate, CaTiO3
Calcium, Ca
Carbon, C (graphite)
Carbon, C (pyrolytic graphite)
Cerium Bismuth Ferrite, Ce2.2Bi0.8Fe5O12
Cerium Fluoride, CeF3
Cerium Oxide, CeO2
Cerium Yttrium Ferrite, Ce2.5Y0.5Fe5O12
Cerium, Ce
Chromium Oxide, Cr2O3
Chromium Silicide, CrSi2
Chromium, Cr
Cobalt Ferrite, CoFe2O4
Cobalt Iron Boron, Co/Fe/B 60/20/20 AT%
Cobalt, Co
Cobalt, Oxide, CoO
Copper Oxide, CuO
Copper, Cu
Dysprosium, Dy
Erbium Oxide, Er2O3
Erbium, Er
Europium Nickel Oxide, EuNiO3
Europium Titanate, EuTiO3
Europium, Eu
Gadolinium Cerium Oxide, Gd0.2Ce0.8O2
Gadolinium, Gd
Germanium Antimony Telluride, Ge2Sb2Te5
Germanium Telluride, GeTe
Germanium, Ge
Gold, Au
Hafnium Carbide, HfC
Hafnium Nitride, HfN
Hafnium Oxide, HfO2
Hafnium, Hf
Holmium, Ho
Indium Zinc Oxide, IZO, In2O3/ZnO, 90/10 wt%
Indium Aluminum Zinc Oxide, In2O3/Al2O3/ZnO 65/16/19 wt%
Indium Gallium Zinc Oxide, InGaZnOx
Indium Iron Oxide, InFe2O4
Indium Molybdenum Oxide, In2O3/Mo 98/2 wt%
Indium Oxide, In2O3
Indium Tin Oxide, ITO, In2O3/SnO2, 90/10 wt%
Indium, In
Iridium, Ir
Iron Manganese (Fe/Mn 50/50 AT%)
Iron Oxide, Fe2O3
Iron, Fe
Lanthanum Aluminate, LaAlO3
Lanthanum Hexaboride, LaB6
Lanthanum Manganate, LaMnO3
Lanthanum Strontium Manganate, La0.9Sr0.1MnO3
Lanthanum Titanate, La2Ti2O7
Lanthanum Titanate, LaTiO3
Lanthanum Vanadium Oxide
Lanthanum, La
Lead Lanthanum Zirconium Titanate, PLZT, Pb1-xLax(ZryTi1-y)1-0.25xO3
Lead Oxide, PbO
Lead Telluride, PbTe
Lead Titanate, PbTiO3
Lead Zirconate, PbZrO3
Lead Zirconium Titanate, PZT, (Various Compositions)
Lead Zirconium Titanate, PZT, PbZr0.52Ti0.48O3
Lead, Pb
Lithium Cobalt Oxide, LiCoO2
Lithium Niobate, LiNbO3
Lithium Phosphate, Li3PO4
Lithium Titanate, Li4Ti5O12
Magnesium Fluoride, MgF2
Magnesium Oxide, MgO
Magnesium Silicide, Mg2Si
Magnesium, Mg
Manganese Iridium (Mn/Ir (Various Compositions))
Manganese Oxide, MnO
Manganese, Mn
Molybdenum Carbide, Mo2C
Molybdenum Disilicide, MoSi2
Molybdenum Disulfide, MoS2
Molybdenum Oxide, MoO3
Molybdenum, Mo
Molybdenum/Rhenium, Mo/Re, (Various Compositions)
Neodymium Aluminate, NdAlO3
Neodymium Copper Oxide, Nd2CuO4
Neodymium Nickel Oxide, NdNiO3
Neodymium, Nd
