wl	k
1.53941	0.00008
1.54036	0.00008
1.54131	0.00008
1.54226	0.00008
1.54321	0.00008
1.54416	0.00008
1.54512	0.00008
1.54607	0.00008
1.54703	0.00008
1.54799	0.00008
1.54895	0.00008
1.54991	0.00008
1.55087	0.00008
1.55183	0.00008
1.55280	0.00008
1.55376	0.00008
1.55473	0.00008
1.55569	0.00008
1.55666	0.00008
1.55763	0.00009
1.55860	0.00009
1.55958	0.00009
1.56055	0.00009
1.56152	0.00009
1.56250	0.00009
1.56348	0.00009
1.56446	0.00009
1.56544	0.00009
1.56642	0.00009
1.56740	0.00009
1.56838	0.00009
1.56937	0.00009
1.57035	0.00009
1.57134	0.00009
1.57233	0.00009
1.57332	0.00009
1.57431	0.00009
1.57530	0.00009
1.57629	0.00009
1.57729	0.00009
1.57828	0.00009
1.57928	0.00009
1.58028	0.00009
1.58128	0.00009
1.58228	0.00009
1.58328	0.00009
1.58428	0.00009
1.58529	0.00009
1.58629	0.00009
1.58730	0.00009
1.58831	0.00009
1.58932	0.00009
1.59033	0.00009
1.59134	0.00009
1.59236	0.00009
1.59337	0.00009
1.59439	0.00009
1.59541	0.00009
1.59642	0.00009
1.59744	0.00009
1.59847	0.00009
1.59949	0.00009
1.60051	0.00009
1.60154	0.00009
1.60256	0.00009
1.60359	0.00009
1.60462	0.00009
1.60565	0.00009
1.60668	0.00009
1.60772	0.00009
1.60875	0.00009
1.60979	0.00009
1.61082	0.00009
1.61186	0.00009
1.61290	0.00009
1.61394	0.00009
1.61499	0.00010
1.61603	0.00010
1.61708	0.00010
1.61812	0.00010
1.61917	0.00010
1.62022	0.00010
1.62127	0.00010
1.62232	0.00010
1.62338	0.00010
1.62443	0.00010
1.62549	0.00010
1.62655	0.00010
1.62760	0.00010
1.62866	0.00010
1.62973	0.00010
1.63079	0.00010
1.63185	0.00010
1.63292	0.00010
1.63399	0.00010
1.63506	0.00010
1.63613	0.00010
1.63720	0.00010
1.63827	0.00010
1.63934	0.00010
1.64042	0.00010
1.64150	0.00010
1.64258	0.00010
1.64366	0.00010
1.64474	0.00010
1.64582	0.00010
1.64690	0.00010
1.64799	0.00010
1.64908	0.00010
1.65017	0.00010
1.65125	0.00010
1.65235	0.00010
1.65344	0.00010
1.65453	0.00010
1.65563	0.00010
1.65673	0.00010
1.65782	0.00010
1.65893	0.00010
1.66003	0.00010
1.66113	0.00010
1.66223	0.00010
1.66334	0.00010
1.66445	0.00010
1.66556	0.00010
1.66667	0.00010
1.66778	0.00010
1.66889	0.00011
1.67001	0.00011
1.67112	0.00011
1.67224	0.00011
1.67336	0.00011
1.67448	0.00011
1.67560	0.00011
1.67673	0.00011
1.67785	0.00011
1.67898	0.00011
1.68011	0.00011
1.68124	0.00011
1.68237	0.00011
1.68350	0.00011
1.68464	0.00011
1.68577	0.00011
1.68691	0.00011
1.68805	0.00011
1.68919	0.00011
1.69033	0.00011
1.69147	0.00011
1.69262	0.00011
1.69377	0.00011
1.69492	0.00011
1.69607	0.00011
1.69722	0.00011
1.69837	0.00011
1.69952	0.00011
1.70068	0.00011
1.70184	0.00011
1.70300	0.00011
1.70416	0.00011
1.70532	0.00011
1.70648	0.00011
1.70765	0.00011
1.70882	0.00011
1.70999	0.00011
1.71116	0.00011
1.71233	0.00011
1.71350	0.00011
1.71468	0.00011
1.71585	0.00011
1.71703	0.00011
1.71821	0.00011
1.71939	0.00012
1.72058	0.00012
1.72176	0.00012
1.72295	0.00012
1.72414	0.00012
1.72533	0.00012
1.72652	0.00012
1.72771	0.00012
1.72891	0.00012
1.73010	0.00012
1.73130	0.00012
1.73250	0.00012
1.73370	0.00012
1.73491	0.00012
1.73611	0.00012
1.73732	0.00012
1.73853	0.00012
1.73974	0.00012
1.74095	0.00012
1.74216	0.00012
1.74338	0.00012
1.74459	0.00012
1.74581	0.00012
1.74703	0.00012
1.74825	0.00012
1.74948	0.00012
1.75070	0.00012
1.75193	0.00012
1.75316	0.00012
1.75439	0.00012
1.75562	0.00012
1.75685	0.00012
1.75809	0.00012
1.75932	0.00012
1.76056	0.00012
1.76180	0.00012
1.76305	0.00012
1.76429	0.00012
1.76554	0.00013
1.76678	0.00013
1.76803	0.00013
1.76929	0.00013
1.77054	0.00013
1.77179	0.00013
1.77305	0.00013
1.77431	0.00013
1.77557	0.00013
1.77683	0.00013
1.77809	0.00013
1.77936	0.00013
1.78063	0.00013
1.78190	0.00013
1.78317	0.00013
1.78444	0.00013
1.78571	0.00013
1.78699	0.00013
1.78827	0.00013
1.78955	0.00013
1.79083	0.00013
1.79211	0.00013
1.79340	0.00013
1.79469	0.00013
1.79598	0.00013
1.79727	0.00013
1.79856	0.00013
1.79986	0.00013
1.80115	0.00013
1.80245	0.00013
1.80375	0.00013
1.80505	0.00013
1.80636	0.00013
1.80766	0.00013
1.80897	0.00013
1.81028	0.00014
1.81159	0.00014
1.81291	0.00014
1.81422	0.00014
1.81554	0.00014
1.81686	0.00014
1.81818	0.00014
1.81951	0.00014
1.82083	0.00014
1.82216	0.00014
1.82349	0.00014
1.82482	0.00014
1.82615	0.00014
1.82749	0.00014
1.82882	0.00014
1.83016	0.00014
1.83150	0.00014
1.83284	0.00014
1.83419	0.00014
1.83554	0.00014
1.83688	0.00014
1.83824	0.00014
1.83959	0.00014
1.84094	0.00014
1.84230	0.00014
1.84366	0.00014
1.84502	0.00014
1.84638	0.00014
1.84775	0.00014
1.84911	0.00014
1.85048	0.00014
1.85185	0.00014
1.85322	0.00015
1.85460	0.00015
1.85598	0.00015
1.85736	0.00015
1.85874	0.00015
1.86012	0.00015
1.86150	0.00015
1.86289	0.00015
1.86428	0.00015
1.86567	0.00015
1.86706	0.00015
1.86846	0.00015
1.86986	0.00015
1.87126	0.00015
1.87266	0.00015
1.87406	0.00015
1.87547	0.00015
1.87688	0.00015
1.87829	0.00015
1.87970	0.00015
1.88111	0.00015
1.88253	0.00015
1.88395	0.00015
1.88537	0.00015
1.88679	0.00015
1.88822	0.00015
1.88964	0.00015
1.89107	0.00015
1.89251	0.00015
1.89394	0.00016
1.89538	0.00016
1.89681	0.00016
1.89825	0.00016
1.89970	0.00016
1.90114	0.00016
1.90259	0.00016
1.90404	0.00016
1.90549	0.00016
1.90694	0.00016
1.90840	0.00016
1.90985	0.00016
1.91131	0.00016
1.91278	0.00016
1.91424	0.00016
1.91571	0.00016
1.91718	0.00016
1.91865	0.00016
1.92012	0.00016
1.92160	0.00016
1.92308	0.00016
1.92456	0.00016
1.92604	0.00016
1.92753	0.00016
1.92901	0.00016
1.93050	0.00016
1.93199	0.00017
1.93349	0.00017
1.93498	0.00017
1.93648	0.00017
1.93798	0.00017
1.93949	0.00017
1.94099	0.00017
1.94250	0.00017
1.94401	0.00017
1.94553	0.00017
1.94704	0.00017
1.94856	0.00017
1.95008	0.00017
1.95160	0.00017
1.95313	0.00017
1.95465	0.00017
1.95618	0.00017
1.95771	0.00017
1.95925	0.00017
1.96078	0.00017
1.96232	0.00017
1.96386	0.00017
1.96541	0.00017
1.96696	0.00017
1.96850	0.00018
1.97006	0.00018
1.97161	0.00018
1.97316	0.00018
1.97472	0.00018
1.97628	0.00018
1.97785	0.00018
1.97941	0.00018
1.98098	0.00018
1.98255	0.00018
1.98413	0.00018
1.98570	0.00018
1.98728	0.00018
1.98886	0.00018
1.99045	0.00018
1.99203	0.00018
1.99362	0.00018
1.99521	0.00018
1.99681	0.00018
1.99840	0.00018
2.00000	0.00018
2.00160	0.00018
2.00321	0.00018
2.00481	0.00019
2.00642	0.00019
2.00803	0.00019
2.00965	0.00019
2.01126	0.00019
2.01288	0.00019
2.01450	0.00019
2.01613	0.00019
2.01776	0.00019
2.01939	0.00019
2.02102	0.00019
2.02265	0.00019
2.02429	0.00019
2.02593	0.00019
2.02758	0.00019
2.02922	0.00019
2.03087	0.00019
2.03252	0.00019
2.03417	0.00019
2.03583	0.00019
2.03749	0.00019
2.03915	0.00020
2.04082	0.00020
2.04248	0.00020
2.04415	0.00020
2.04583	0.00020
2.04750	0.00020
2.04918	0.00020
2.05086	0.00020
2.05255	0.00020
2.05423	0.00020
2.05592	0.00020
2.05761	0.00020
2.05931	0.00020
2.06101	0.00020
